,ARS,BL_name,ADE2,ADE3,ADE4,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
20,031530000000,Niedersachsen,03,1,53,3.0,8,1.0,8,53.0,8,1199.5,8,74.5,8,8,96672,9041.5,12084.0,134485,15198.0,16810.62,66579,8035.5,8322.38,8,"['38667     ' '38704     ' '38723     ' '38700*****' '38640*****'
 '38678*****' '38685*****' '          ']",1,[2321],4,[11042 11112 11162  1116],4,[11150 11210 11190     0],2,[52 49]
21,031540000000,Niedersachsen,03,1,54,3.0,28,1.0,28,54.0,28,5365.71,28,101.96,28,28,67612,1419.5,2414.71,92123,943.5,3290.11,45501,479.5,1625.04,20,"['38459     ' '38382     ' '38461     ' '38373     ' '38384     '
 '38462     ' '38368     ' '38464     ' '38381     ' '38154     '
 '38165     ' '38375     ' '38364     ' '38376     ' '38458     '
 '38378     ' '38379     ' '38387*****' '38350*****' '          ']",1,[2328],2,[11052  1105],2,[41010     0],1,[51]
22,031550000000,Niedersachsen,03,1,55,3.0,12,1.0,12,55.0,12,798.33,12,48.33,12,12,126877,8753.0,10573.08,132939,8163.5,11078.25,65640,4025.5,5470.0,12,"['37581     ' '37194     ' '37586     ' '37181     ' '37589     '
 '37191     ' '37186     ' '37176     ' '37154     ' '37170     '
 '37574     ' '          ']",2,[2321 2335],5,[11012 12082 12032 12092  1208],4,[31170 31250 31090     0],2,[52 46]
23,031570000000,Niedersachsen,03,1,57,3.0,7,1.0,7,57.0,7,5.43,7,5.43,7,7,53650,7222.0,7664.29,139170,14433.0,19881.43,68997,7215.0,9856.71,7,"['31234     ' '31249     ' '38268     ' '31224*****' '38159     '
 '38176     ' '31241*****']",2,[2338 2313],2,[24112 11032],1,[44130],1,[45]
24,031580000000,Niedersachsen,03,1,58,3.0,35,1.0,35,58.0,35,5295.2,35,62.11,35,35,72431,1686.0,2069.46,120755,1065.0,3450.14,59917,536.0,1711.91,20,"['38271     ' '38272     ' '38312     ' '38162     ' '38170     '
 '38321*****' '38173     ' '38274     ' '38275     ' '38322*****'
 '38277     ' '38324*****' '38325*****' '38170*****' '38279     '
 '38329*****' '38300*****' '38315     ' '38319*****' '          ']",2,[2351 2313],3,[11082 11152  1115],5,[11090 11130 11010 11150     0],1,[49]
25,031590000000,Niedersachsen,03,1,59,3.0,40,1.0,40,59.0,40,3484.75,40,32.02,40,40,175539,2279.5,4388.48,328952,1884.5,8223.8,161298,930.5,4032.45,22,"['37139     ' '37539     ' '37431     ' '37441     ' '37434     '
 '37120     ' '37127     ' '37115     ' '37136     ' '37412     '
 '37133     ' '37130     ' '37083*****' '34346     ' '37197*****'
 '37412*****' '37520     ' '37124*****' '34355*****' '37445     '
 '37199     ' '          ']",2,[2320 2335],6,[12042 12092 12062 12022 12052  1206],5,[31010 31210 31050 31130     0],2,[53 52]
26,032410000000,Niedersachsen,03,2,41,3.0,21,2.0,21,41.0,21,11.0,21,11.0,21,21,229713,10281.0,10938.71,1177676,30060.0,56079.81,576580,14682.0,27456.19,21,"['30159*****' '30890     ' '31303     ' '30938     ' '30823*****'
 '30989     ' '30966     ' '30916     ' '30880     ' '30853*****'
 '31275     ' '31535     ' '30982     ' '30952     ' '30926     '
 '31319     ' '31832     ' '31311     ' '30900     ' '30974     '
 '31515     ']",5,[2324 2323 2316 2327 2334],7,[23052 23082 24032 23032 23062 24102 23072],11,[37010 37050 37250 37270 37090 37130 37170 37290 37210 37190 37230],3,[41042    47    43]
27,032510000000,Niedersachsen,03,2,51,3.0,45,2.0,45,51.0,45,4449.27,45,24.71,45,45,199104,2803.0,4424.53,223832,1279.0,4974.04,110980,647.0,2466.22,27,"['27257     ' '27330     ' '27245     ' '49406*****' '49453     '
 '27211     ' '27246     ' '49448     ' '49356     ' '49457     '
 '49406     ' '27248     ' '27259     ' '49448*****' '49459     '
 '27249     ' '27327     ' '27251     ' '27252     ' '27254     '
 '28816     ' '27232     ' '28857     ' '27239     ' '49419     '
 '28844     ' '27305     ']",2,[2345 2346],3,[27122 27132 27052],4,[77250 77090 77190 77170],1,[33]
28,032520000000,Niedersachsen,03,2,52,3.0,8,2.0,8,52.0,8,4.5,8,4.5,8,8,79753,10389.5,9969.12,150377,14027.5,18797.12,72845,6894.0,9105.62,8,"['31855     ' '31848     ' '31812     ' '31863     ' '31860     '
 '31785*****' '31840     ' '31020     ']",1,[2322],1,[23042],2,[34010 34050],1,[46]
29,032540000000,Niedersachsen,03,2,54,3.0,20,2.0,20,54.0,20,829.35,20,23.3,20,20,120834,5992.5,6041.7,278571,8703.0,13928.55,136101,4340.5,6805.05,20,"['31061     ' '31191     ' '31162     ' '31167     ' '31199     '
 '31036     ' '31008     ' '31180     ' '31177     ' '31134*****'
 '31188     ' '31171     ' '31157     ' '31174     ' '31185     '
 '31089*****' '31084     ' '31028     ' '31195     ' '31079     ']",1,[2330],3,[24012 24082 24042],2,[44050 44010],1,[48]
30,032550000000,Niedersachsen,03,2,55,3.0,39,2.0,39,55.0,39,5865.72,39,105.77,39,39,69426,1519.0,1780.15,70706,742.0,1812.97,35116,367.0,900.41,20,"['37627     ' '37639     ' '37619     ' '37691     ' '37647*****'
 '31073     ' '37633     ' '37632     ' '37699     ' '37640     '
 '37620     ' '37649     ' '37642     ' '37603     ' '37697     '
 '37635     ' '37643     ' '31868     ' '37647     ' '          ']",1,[2331],2,[24092  2409],3,[34090 34050     0],1,[46]
31,032560000000,Niedersachsen,03,2,56,3.0,36,2.0,36,56.0,36,4959.75,36,18.5,36,36,140081,3231.0,3891.14,123888,1965.0,3441.33,61332,979.0,1703.67,30,"['31609     ' '31619     ' '27333     ' '31603     ' '31623     '
 '31629     ' '27324     ' '31626     ' '31622     ' '27318     '
 '31632     ' '31628     ' '31633     ' '31618     ' '31636     '
 '31608     ' '31582     ' '31621     ' '31604     ' '31547     '
 '31637     ' '31627     ' '27333*****' '31634     ' '31595     '
 '31638     ' '31592     ' '31600     ' '31606     ' '31613     ']",1,[2334],2,[27082 27112],3,[77230 77090 77210],2,[40 33]
32,032570000000,Niedersachsen,03,2,57,3.0,38,2.0,38,57.0,38,4695.76,38,19.5,38,38,67567,1142.5,1778.08,160236,1890.0,4216.74,78593,914.5,2068.24,30,"['31708     ' '31552     ' '31749     ' '31553     ' '31707     '
 '31542     ' '31699*****' '31710     ' '31675     ' '31558     '
 '31559     ' '31691     ' '31693     ' '31700     ' '31867     '
 '31714     ' '31698     ' '31702     ' '31711     ' '31715     '
 '31712     ' '31688     ' '31717     ' '31683     ' '31718     '
 '31737     ' '31655     ' '31555     ' '31719     ' '31556     ']",1,[2344],3,[21012 21062 21042],2,[34130 34210],1,[40]
33,033510000000,Niedersachsen,03,3,51,3.0,21,3.0,21,51.0,21,3546.0,21,36.48,21,21,155083,4055.0,7384.9,182352,5787.0,8683.43,89397,2841.0,4257.0,20,"['29352     ' '29353     ' '29355     ' '29303     ' '29356     '
 '29221*****' '29358     ' '29351     ' '29328     ' '29313     '
 '29362     ' '29331     ' '29364     ' '29336     ' '29339     '
 '29342     ' '29323     ' '29308*****' '29348*****' '29320*****']",1,[2317],1,[25032],2,[21010 21090],1,[44]
34,033520000000,Niedersachsen,03,3,52,3.0,29,3.0,29,52.0,29,4114.83,29,38.62,29,29,205897,3605.0,7099.9,201838,1726.0,6959.93,98504,869.0,3396.69,23,"['21769     ' '21785     ' '21782     ' '27472*****' '21755     '
 '21745     ' '21775     ' '27612     ' '21770     ' '21763     '
 '21765     ' '21787     ' '21756     ' '21762     ' '27619     '
 '21772     ' '21776     ' '21789     ' '27616*****' '27628     '
 '27639     ' '27607*****' '21781*****']",2,[2318 2349],3,[26112 26032 26082],3,[67170 67130 67290],1,[29]
35,033530000000,Niedersachsen,03,3,53,3.0,42,3.0,42,53.0,42,4635.83,42,21.5,42,42,124847,2084.0,2972.55,263616,2090.0,6276.57,130183,1039.0,3099.6,31,"['21279     ' '21271     ' '21227     ' '21438     ' '21244     '
 '21255     ' '21423     ' '21279*****' '21272     ' '21376     '
 '21441     ' '21646     ' '21256     ' '21228     ' '21258     '
 '21266     ' '21436     ' '21439     ' '21647     ' '21629     '
 '21259*****' '21649     ' '21224     ' '21218*****' '21435     '
 '21395     ' '21442     ' '21274*****' '21444     ' '21261     '
 '21445     ']",2,[2315 2350],2,[26132 25112],2,[51090 51130],1,[36]
36,033540000000,Niedersachsen,03,3,54,3.0,29,3.0,29,54.0,29,5688.34,29,47.62,29,29,122735,4105.0,4232.24,49209,1001.0,1696.86,24024,491.0,828.41,28,"['29468     ' '29459     ' '29472     ' '29451     ' '29471     '
 '29473     ' '29475     ' '29476     ' '29456     ' '29478     '
 '29479     ' '29481     ' '29482     ' '29484     ' '29485     '
 '29487     ' '29488     ' '29439     ' '29490     ' '29491     '
 '29493     ' '29465     ' '29494     ' '29496     ' '29497     '
 '29462     ' '29499     ' '          ']",1,[2347],2,[25042  2504],2,[51150     0],1,[37]
37,033550000000,Niedersachsen,03,3,55,3.0,43,3.0,43,55.0,43,4903.33,43,22.14,43,43,132785,2003.0,3088.02,188859,2170.0,4392.07,91759,1070.0,2133.93,31,"['21365     ' '21385     ' '21380     ' '21357     ' '21397     '
 '21406     ' '21386     ' '21354*****' '21368     ' '21382     '
 '21407     ' '21379     ' '21409     ' '21447     ' '21522     '
 '21394*****' '21335*****' '21358     ' '21369     ' '21398*****'
 '21385*****' '21449     ' '21400     ' '21391     ' '21388     '
 '21394     ' '21401     ' '21371     ' '21360     ' '21403     '
 '19273     ']",1,[2333],1,[25072],1,[51010],1,[37]
