,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
2666,13,Mecklenburg-Vorpommern,76,5654,8436,258.33,32.66
2667,13,Mecklenburg-Vorpommern,76,5655,11762,403.53,29.15
2668,13,Mecklenburg-Vorpommern,76,5656,6321,245.87,25.71
2669,13,Mecklenburg-Vorpommern,76,5657,10715,362.99,29.52
2670,13,Mecklenburg-Vorpommern,76,5658,8453,336.65,25.11
2671,13,Mecklenburg-Vorpommern,76,5659,8197,275.28000000000003,29.78
2672,13,Mecklenburg-Vorpommern,76,5660,7604,128.24,59.3
2673,13,Mecklenburg-Vorpommern,76,5662,8048,354.72,22.69
2674,13,Mecklenburg-Vorpommern,76,5663,7946,234.6,33.87
2675,13,Mecklenburg-Vorpommern,76,5664,11857,392.41,30.22
2676,13,Mecklenburg-Vorpommern,76,5665,11686,131.93,88.58
2677,13,Mecklenburg-Vorpommern,76,5666,9112,184.81,49.3
2678,13,Mecklenburg-Vorpommern,76,5667,10065,275.79,36.5
2679,13,Mecklenburg-Vorpommern,76,5668,24522,484.58,50.6
2680,14,Sachsen,11,0,240078,221.03,1086.18
2681,14,Sachsen,12,0,557782,328.49,1698.02
2682,14,Sachsen,13,0,598899,297.8,2011.08
2683,14,Sachsen,21,10,3694,23.27,158.75
2684,14,Sachsen,21,20,18942,28.15,672.9
2685,14,Sachsen,21,35,19278,36.43,529.18
2686,14,Sachsen,21,110,4943,60.0,82.38
2687,14,Sachsen,21,130,3938,36.43,108.1
2688,14,Sachsen,21,150,4922,32.86,149.79
2689,14,Sachsen,21,160,4442,15.89,279.55
2690,14,Sachsen,21,170,6986,112.24,62.24
2691,14,Sachsen,21,200,4144,21.1,196.4
2692,14,Sachsen,21,240,2751,22.57,121.89
2693,14,Sachsen,21,250,3326,26.65,124.8
2694,14,Sachsen,21,260,5617,22.25,252.45
2695,14,Sachsen,21,290,3362,5.25,640.38
2696,14,Sachsen,21,310,5362,26.23,204.42
2697,14,Sachsen,21,320,3696,29.59,124.91
2698,14,Sachsen,21,330,2553,49.69,51.38
2699,14,Sachsen,21,355,8425,30.28,278.24
2700,14,Sachsen,21,370,7781,30.49,255.2
2701,14,Sachsen,21,390,16439,133.49,123.15
2702,14,Sachsen,21,400,3417,31.67,107.89
2703,14,Sachsen,21,410,6879,20.14,341.56
2704,14,Sachsen,21,440,1992,40.03,49.76
2705,14,Sachsen,21,450,11097,26.28,422.26
2706,14,Sachsen,21,460,10345,125.35,82.53
2707,14,Sachsen,21,495,7398,83.43,88.67
2708,14,Sachsen,21,500,4825,39.55,122.0
2709,14,Sachsen,21,530,13420,23.35,574.73
2710,14,Sachsen,21,540,4149,28.15,147.39
2711,14,Sachsen,21,550,15917,46.31,343.71
2712,14,Sachsen,21,560,6158,44.51,138.35
2713,14,Sachsen,21,600,3123,28.29,110.39
2714,14,Sachsen,21,620,6010,10.79,557.0
2715,14,Sachsen,21,630,3108,24.21,128.38
2716,14,Sachsen,21,640,4835,18.9,255.82
2717,14,Sachsen,21,670,3815,30.51,125.04
2718,14,Sachsen,21,5101,4331,24.98,173.38
2719,14,Sachsen,21,5103,10313,33.69,306.11
2720,14,Sachsen,21,5110,4339,26.529999999999998,163.55
2721,14,Sachsen,21,5115,10114,28.33,357.01
2722,14,Sachsen,21,5130,4274,30.22,141.43
2723,14,Sachsen,21,5132,3553,30.009999999999998,118.39
2724,14,Sachsen,21,5133,12602,52.050000000000004,242.11
2725,14,Sachsen,21,5138,12527,42.57,294.27
2726,14,Sachsen,21,5139,7256,41.08,176.63
2727,14,Sachsen,21,5140,14341,109.97999999999999,130.4
2728,14,Sachsen,21,5405,4135,44.17,93.62
2729,14,Sachsen,22,20,4495,23.38,192.26
2730,14,Sachsen,22,35,5658,55.12,102.65
2731,14,Sachsen,22,50,9029,46.33,194.88
2732,14,Sachsen,22,70,2984,21.38,139.57
2733,14,Sachsen,22,80,23488,91.75,256.0
2734,14,Sachsen,22,110,3927,33.87,115.94
2735,14,Sachsen,22,120,3178,37.83,84.01
2736,14,Sachsen,22,140,10332,27.76,372.19
2737,14,Sachsen,22,150,13576,65.62,206.89
2738,14,Sachsen,22,170,2694,58.98,45.68
2739,14,Sachsen,22,180,40103,48.31,830.12
2740,14,Sachsen,22,190,4108,30.06,136.66
2741,14,Sachsen,22,200,2411,32.2,74.88
2742,14,Sachsen,22,210,5351,61.63,86.82
2743,14,Sachsen,22,220,2634,44.45,59.26
2744,14,Sachsen,22,230,8339,51.74,161.17
2745,14,Sachsen,22,240,5023,41.04,122.39
2746,14,Sachsen,22,250,6719,54.4,123.51
2747,14,Sachsen,22,260,4379,10.28,425.97
2748,14,Sachsen,22,290,2576,31.03,83.02
2749,14,Sachsen,22,300,1993,31.08,64.12
2750,14,Sachsen,22,310,8224,78.09,105.31
2751,14,Sachsen,22,320,3232,34.47,93.76
2752,14,Sachsen,22,330,7050,49.14,143.47
2753,14,Sachsen,22,350,3985,28.33,140.66
2754,14,Sachsen,22,390,2423,43.14,56.17
2755,14,Sachsen,22,400,2496,48.09,51.9
2756,14,Sachsen,22,420,4751,16.39,289.87
2757,14,Sachsen,22,430,3276,44.3,73.95
2758,14,Sachsen,22,440,7714,77.33,99.75
2759,14,Sachsen,22,460,8343,63.37,131.66
2760,14,Sachsen,22,470,1771,52.65,33.64
2761,14,Sachsen,22,480,2817,49.71,56.67
2762,14,Sachsen,22,500,3320,53.59,61.95
2763,14,Sachsen,22,510,7244,44.1,164.26
2764,14,Sachsen,22,540,4551,77.23,58.93
2765,14,Sachsen,22,570,9033,41.71,216.57
2766,14,Sachsen,22,580,1763,25.65,68.73
2767,14,Sachsen,22,5102,14869,45.08,329.84
2768,14,Sachsen,22,5113,5007,55.96,89.47
2769,14,Sachsen,22,5119,15790,55.339999999999996,285.33
2770,14,Sachsen,22,5123,4715,70.96000000000001,66.45
2771,14,Sachsen,22,5126,9176,99.08,92.61
2772,14,Sachsen,22,5129,3165,64.88,48.78
2773,14,Sachsen,23,10,4686,42.97,109.05
2774,14,Sachsen,23,20,17732,55.52,319.38
2775,14,Sachsen,23,30,1646,43.92,37.48
2776,14,Sachsen,23,40,3545,19.77,179.31
2777,14,Sachsen,23,90,2498,4.55,549.01
2778,14,Sachsen,23,100,3731,25.1,148.65
