,EF1_Satzart,EF2_Gebietstand,EF3_ARS,EF4_Verband,EF5_Verbandsbezeichnung,EF6_Sitz_des_Verbandes,EF7_Schlüsselfelder,EF8_Leer,EF9_Frei für landesinterne Angaben,BL_nr,BL_name
11307,40,20241031,09577,,Weißenburg-Gunzenhausen,Weißenburg i.Bay.,44.0,,,9,Bayern
11350,40,20241031,09661,,Aschaffenburg,Aschaffenburg,41.0,,,9,Bayern
11353,40,20241031,09662,,Schweinfurt,Schweinfurt,41.0,,,9,Bayern
11356,40,20241031,09663,,Würzburg,Würzburg,41.0,,,9,Bayern
11359,40,20241031,09671,,Aschaffenburg,Aschaffenburg,44.0,,,9,Bayern
11431,40,20241031,09672,,Bad Kissingen,Bad Kissingen,44.0,,,9,Bayern
11499,40,20241031,09673,,Rhön-Grabfeld,Bad Neustadt a.d.Saale,44.0,,,9,Bayern
11565,40,20241031,09674,,Haßberge,Haßfurt,44.0,,,9,Bayern
11606,40,20241031,09675,,Kitzingen,Kitzingen,44.0,,,9,Bayern
11650,40,20241031,09676,,Miltenberg,Miltenberg,44.0,,,9,Bayern
11713,40,20241031,09677,,Main-Spessart,Karlstadt,44.0,,,9,Bayern
11790,40,20241031,09678,,Schweinfurt,Schweinfurt,44.0,,,9,Bayern
11855,40,20241031,09679,,Würzburg,Würzburg,44.0,,,9,Bayern
11948,40,20241031,09761,,Augsburg,Augsburg,41.0,,,9,Bayern
11951,40,20241031,09762,,Kaufbeuren,Kaufbeuren,41.0,,,9,Bayern
11954,40,20241031,09763,,Kempten (Allgäu),Kempten (Allgäu),41.0,,,9,Bayern
11957,40,20241031,09764,,Memmingen,Memmingen,41.0,,,9,Bayern
11960,40,20241031,09771,,Aichach-Friedberg,Aichach,44.0,,,9,Bayern
11999,40,20241031,09772,,Augsburg,Augsburg,44.0,,,9,Bayern
12077,40,20241031,09773,,Dillingen a.d.Donau,Dillingen a.d.Donau,44.0,,,9,Bayern
12115,40,20241031,09774,,Günzburg,Günzburg,44.0,,,9,Bayern
12171,40,20241031,09775,,Neu-Ulm,Neu-Ulm,44.0,,,9,Bayern
12209,40,20241031,09776,,Lindau (Bodensee),Lindau (Bodensee),44.0,,,9,Bayern
12242,40,20241031,09777,,Ostallgäu,Marktoberdorf,44.0,,,9,Bayern
12308,40,20241031,09778,,Unterallgäu,Mindelheim,44.0,,,9,Bayern
12382,40,20241031,09779,,Donau-Ries,Donauwörth,44.0,,,9,Bayern
12449,40,20241031,09780,,Oberallgäu,Sonthofen,44.0,,,9,Bayern
12504,40,20241031,10041,,Regionalverband Saarbrücken,"Saarbrücken, Landeshauptstadt",45.0,,,10,Saarland
12525,40,20241031,10042,,Merzig-Wadern,"Merzig, Kreisstadt",44.0,,,10,Saarland
12542,40,20241031,10043,,Neunkirchen,Ottweiler,44.0,,,10,Saarland
12557,40,20241031,10044,,Saarlouis,"Saarlouis, Kreisstadt",44.0,,,10,Saarland
12584,40,20241031,10045,,Saarpfalz-Kreis,"Homburg, Kreisstadt",44.0,,,10,Saarland
12599,40,20241031,10046,,St. Wendel,"St. Wendel, Kreisstadt",44.0,,,10,Saarland
12617,40,20241031,11000,,"Berlin, Stadt",Berlin,41.0,,,11,Berlin
12621,40,20241031,12051,,"Brandenburg an der Havel, Stadt",Brandenburg an der Havel,41.0,,,12,Brandenburg
12624,40,20241031,12052,,"Cottbus, Stadt",Cottbus,41.0,,,12,Brandenburg
12627,40,20241031,12053,,"Frankfurt (Oder), Stadt",Frankfurt (Oder),41.0,,,12,Brandenburg
12630,40,20241031,12054,,"Potsdam, Stadt",Potsdam,41.0,,,12,Brandenburg
12633,40,20241031,12060,,Barnim,Eberswalde,44.0,,,12,Brandenburg
12669,40,20241031,12061,,Dahme-Spreewald,Lübben(Spreewald),44.0,,,12,Brandenburg
12723,40,20241031,12062,,Elbe-Elster,Herzberg/Elster,44.0,,,12,Brandenburg
12770,40,20241031,12063,,Havelland,Rathenow,44.0,,,12,Brandenburg
12810,40,20241031,12064,,Märkisch-Oderland,Seelow,44.0,,,12,Brandenburg
12874,40,20241031,12065,,Oberhavel,Oranienburg,44.0,,,12,Brandenburg
12909,40,20241031,12066,,Oberspreewald-Lausitz,Senftenberg,44.0,,,12,Brandenburg
12946,40,20241031,12067,,Oder-Spree,Beeskow,44.0,,,12,Brandenburg
13001,40,20241031,12068,,Ostprignitz-Ruppin,Neuruppin,44.0,,,12,Brandenburg
13035,40,20241031,12069,,Potsdam-Mittelmark,Bad Belzig,44.0,,,12,Brandenburg
13093,40,20241031,12070,,Prignitz,Perleberg,44.0,,,12,Brandenburg
13131,40,20241031,12071,,Spree-Neiße,Forst(Lausitz),44.0,,,12,Brandenburg
13172,40,20241031,12072,,Teltow-Fläming,Luckenwalde,44.0,,,12,Brandenburg
13202,40,20241031,12073,,Uckermark,Prenzlau,44.0,,,12,Brandenburg
13248,40,20241031,13003,,Rostock,Rostock,41.0,,,13,Mecklenburg-Vorpommern
13251,40,20241031,13004,,Schwerin,Schwerin,41.0,,,13,Mecklenburg-Vorpommern
13254,40,20241031,13071,,Mecklenburgische Seenplatte,Neubrandenburg,44.0,,,13,Mecklenburg-Vorpommern
13421,40,20241031,13072,,Landkreis Rostock,Güstrow,44.0,,,13,Mecklenburg-Vorpommern
13557,40,20241031,13073,,Vorpommern-Rügen,Stralsund,44.0,,,13,Mecklenburg-Vorpommern
13679,40,20241031,13074,,Nordwestmecklenburg,Wismar,44.0,,,13,Mecklenburg-Vorpommern
13775,40,20241031,13075,,Vorpommern-Greifswald,Greifswald,44.0,,,13,Mecklenburg-Vorpommern
13933,40,20241031,13076,,Ludwigslust-Parchim,Parchim,44.0,,,13,Mecklenburg-Vorpommern
14098,40,20241031,14511,,"Chemnitz, Stadt",Chemnitz,41.0,,,14,Sachsen
14101,40,20241031,14521,,Erzgebirgskreis,Annaberg-Buchholz,44.0,,,14,Sachsen
14207,40,20241031,14522,,Mittelsachsen,Freiberg,44.0,,,14,Sachsen
14304,40,20241031,14523,,Vogtlandkreis,Plauen,44.0,,,14,Sachsen
14367,40,20241031,14524,,Zwickau,Zwickau,44.0,,,14,Sachsen
14425,40,20241031,14612,,"Dresden, Stadt",Dresden,41.0,,,14,Sachsen
14428,40,20241031,14625,,Bautzen,Bautzen,44.0,,,14,Sachsen
14529,40,20241031,14626,,Görlitz,Görlitz,44.0,,,14,Sachsen
14611,40,20241031,14627,,Meißen,Meißen,44.0,,,14,Sachsen
14665,40,20241031,14628,,Sächsische Schweiz-Osterzgebirge,Pirna,44.0,,,14,Sachsen
14725,40,20241031,14713,,"Leipzig, Stadt",Leipzig,41.0,,,14,Sachsen
14728,40,20241031,14729,,Leipzig,Borna,44.0,,,14,Sachsen
14785,40,20241031,14730,,Nordsachsen,Torgau,44.0,,,14,Sachsen
14841,40,20241031,15001,,"Dessau-Roßlau, Stadt",Dessau-Roßlau,41.0,,,15,Sachsen-Anhalt
14844,40,20241031,15002,,"Halle (Saale), Stadt",Halle (Saale),41.0,,,15,Sachsen-Anhalt
14847,40,20241031,15003,,"Magdeburg, Landeshauptstadt",Magdeburg,41.0,,,15,Sachsen-Anhalt
14850,40,20241031,15081,,Altmarkkreis Salzwedel,Salzwedel,44.0,,,15,Sachsen-Anhalt
14870,40,20241031,15082,,Anhalt-Bitterfeld,Köthen (Anhalt),44.0,,,15,Sachsen-Anhalt
14891,40,20241031,15083,,Börde,Haldensleben,44.0,,,15,Sachsen-Anhalt
14939,40,20241031,15084,,Burgenlandkreis,Naumburg (Saale),44.0,,,15,Sachsen-Anhalt
14984,40,20241031,15085,,Harz,Halberstadt,44.0,,,15,Sachsen-Anhalt
15019,40,20241031,15086,,Jerichower Land,Burg,44.0,,,15,Sachsen-Anhalt
15036,40,20241031,15087,,Mansfeld-Südharz,Sangerhausen,44.0,,,15,Sachsen-Anhalt
15070,40,20241031,15088,,Saalekreis,Merseburg,44.0,,,15,Sachsen-Anhalt
15106,40,20241031,15089,,Salzlandkreis,Bernburg (Saale),44.0,,,15,Sachsen-Anhalt
15141,40,20241031,15090,,Stendal,Stendal,44.0,,,15,Sachsen-Anhalt
15176,40,20241031,15091,,Wittenberg,Lutherstadt Wittenberg,44.0,,,15,Sachsen-Anhalt
15196,40,20241031,16051,,"Erfurt, Stadt",Erfurt,41.0,,,16,Thüringen
15199,40,20241031,16052,,"Gera, Stadt",Gera,41.0,,,16,Thüringen
15202,40,20241031,16053,,"Jena, Stadt",Jena,41.0,,,16,Thüringen
15205,40,20241031,16054,,"Suhl, Stadt",Suhl,41.0,,,16,Thüringen
15208,40,20241031,16055,,"Weimar, Stadt",Weimar,41.0,,,16,Thüringen
15211,40,20241031,16061,,Eichsfeld,Heilbad Heiligenstadt,44.0,,,16,Thüringen
15281,40,20241031,16062,,Nordhausen,Nordhausen,44.0,,,16,Thüringen
15305,40,20241031,16063,,Wartburgkreis,Bad Salzungen,44.0,,,16,Thüringen
15352,40,20241031,16064,,Unstrut-Hainich-Kreis,Mühlhausen/Thüringen,44.0,,,16,Thüringen
15387,40,20241031,16065,,Kyffhäuserkreis,Sondershausen,44.0,,,16,Thüringen
15426,40,20241031,16066,,Schmalkalden-Meiningen,Meiningen,44.0,,,16,Thüringen
15478,40,20241031,16067,,Gotha,Gotha/Thür.,44.0,,,16,Thüringen
15521,40,20241031,16068,,Sömmerda,Sömmerda,44.0,,,16,Thüringen
15569,40,20241031,16069,,Hildburghausen,Hildburghausen,44.0,,,16,Thüringen
15612,40,20241031,16070,,Ilm-Kreis,Arnstadt,44.0,,,16,Thüringen
15637,40,20241031,16071,,Weimarer Land,Apolda,44.0,,,16,Thüringen
15685,40,20241031,16072,,Sonneberg,Sonneberg,44.0,,,16,Thüringen
15701,40,20241031,16073,,Saalfeld-Rudolstadt,Saalfeld/Saale,44.0,,,16,Thüringen
15738,40,20241031,16074,,Saale-Holzland-Kreis,Eisenberg,44.0,,,16,Thüringen
15840,40,20241031,16075,,Saale-Orla-Kreis,Schleiz,44.0,,,16,Thüringen
15915,40,20241031,16076,,Greiz,Greiz,44.0,,,16,Thüringen
15972,40,20241031,16077,,Altenburger Land,Altenburg,44.0,,,16,Thüringen
