Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;010535308094;Niendorf bei Berkenthin;193;e;3,99;e;48;e
;010535308103;Rondeshagen;794;e;9,51;e;83;e
;010535308120;Sierksrade;441;e;4,00;e;110;e
;010535313002;Alt-Mölln;851;e;6,44;e;132;e
;010535313005;Bälau;225;e;6,50;e;35;e
;010535313013;Borstorf;315;e;8,64;e;36;e
;010535313014;Breitenfelde;2099;e;12,54;e;167;e
;010535313037;Grambek;534;e;12,66;e;42;e
;010535313056;Hornbek;226;e;5,89;e;38;e
;010535313084;Lehmrade;591;e;11,40;e;52;e
;010535313095;Niendorf/ Stecknitz;697;e;8,41;e;83;e
;010535313113;Schretstaken;512;e;8,47;e;60;e
;010535313125;Talkau;543;e;4,88;e;111;e
;010535313134;Woltersdorf (Kreis Herzogtum Lauenburg);350;e;7,90;e;44;e
;010535318010;Besenthal;92;e;12,65;e;7;e
;010535318015;Bröthen;330;e;10,69;e;31;e
;010535318020;Büchen;6366;e;16,85;e;378;e
;010535318029;Fitzen;386;e;9,11;e;42;e
;010535318035;Göttin;61;e;5,21;e;12;e
;010535318046;Gudow;1745;e;42,25;e;41;e
;010535318048;Güster;1296;e;7,78;e;167;e
;010535318064;Klein Pampau;679;e;4,17;e;163;e
;010535318080;Langenlehsten;173;e;23,37;e;7;e
;010535318092;Müssen;1233;e;11,46;e;108;e
;010535318104;Roseburg;544;e;16,24;e;33;e
;010535318115;Schulendorf;452;e;11,38;e;40;e
;010535318119;Siebeneichen;269;e;4,68;e;57;e
;010535318126;Tramm (Kreis Herzogtum Lauenburg);323;e;6,74;e;48;e
;010535318132;Witzeeze;917;e;10,46;e;88;e
;010535323003;Aumühle;3200;e;3,48;e;920;e
;010535323012;Börnsen;4773;e;8,41;e;568;e
;010535323023;Dassendorf;3465;e;7,94;e;436;e
;010535323028;Escheburg;3496;e;8,91;e;392;e
;010535323050;Hamwarde;883;e;6,67;e;132;e
;010535323053;Hohenhorn;537;e;6,93;e;77;e
;010535323072;Kröppelshagen-Fahrendorf;1423;e;8,37;e;170;e
;010535323131;Wiershop;212;e;5,15;e;41;e
;010535323133;Wohltorf;2579;e;5,97;e;432;e
;010535323135;Worth;170;e;6,07;e;28;e
;010535343006;Basedow (Kreis Herzogtum Lauenburg);633;e;7,47;e;85;e
;010535343019;Buchhorst;147;e;5,19;e;28;e
;010535343022;Dalldorf;354;e;6,05;e;59;e
;010535343058;Juliusburg;183;e;6,03;e;30;e
;010535343073;Krüzen;358;e;8,24;e;43;e
;010535343074;Krukow (Kreis Herzogtum Lauenburg);162;e;7,94;e;20;e
;010535343082;Lanze;268;e;9,04;e;30;e
;010535343087;Lütau;696;e;11,24;e;62;e
;010535343111;Schnakenbek;912;e;13,02;e;70;e
;010535343128;Wangelau;210;e;6,52;e;32;e
;010535358001;Albsfelde;74;e;4,18;e;18;e
;010535358004;Bäk;919;e;4,30;e;214;e
;010535358016;Brunsmark;156;e;4,29;e;36;e
;010535358018;Buchholz (Kreis Herzogtum Lauenburg);252;e;2,93;e;86;e
;010535358026;Einhaus;447;e;2,53;e;177;e
;010535358030;Fredeburg;47;e;10,09;e;5;e
;010535358033;Giesensdorf;175;e;2,73;e;64;e
;010535358040;Groß Disnack;84;e;5,99;e;14;e
;010535358041;Groß Grönau;3764;e;4,90;e;768;e
;010535358043;Groß Sarau;1052;e;17,08;e;62;e
;010535358051;Harmsdorf (Kreis Herzogtum Lauenburg);314;e;3,57;e;88;e
;010535358054;Hollenbek;472;e;7,21;e;65;e
;010535358057;Horst;277;e;12,05;e;23;e
;010535358062;Kittlitz;299;e;17,73;e;17;e
;010535358066;Klein Zecher;247;e;9,11;e;27;e
;010535358078;Kulpin;210;e;6,07;e;35;e
;010535358088;Mechow;141;e;4,43;e;32;e
;010535358093;Mustin (Kreis Herzogtum Lauenburg);732;e;11,88;e;62;e
;010535358098;Pogeez;510;e;4,51;e;113;e
;010535358102;Römnitz;49;e;5,15;e;10;e
;010535358107;Salem (Kreis Herzogtum Lauenburg);693;e;25,10;e;28;e
;010535358110;Schmilau;572;e;11,55;e;50;e
;010535358117;Seedorf (Kreis Herzogtum Lauenburg);595;e;27,88;e;21;e
;010535358123;Sterley;927;e;21,39;e;43;e
;010535358136;Ziethen (Kreis Herzogtum Lauenburg);1157;e;11,18;e;103;e
;010535373007;Basthorst;437;e;10,82;e;40;e
;010535373017;Brunstorf;783;e;13,76;e;57;e
;010535373021;Dahmker;157;e;2,04;e;77;e
;010535373027;Elmenhorst (Kreis Herzogtum Lauenburg);881;e;12,99;e;68;e
;010535373031;Fuhlenhagen;389;e;5,74;e;68;e
;010535373036;Grabau (Kreis Herzogtum Lauenburg);363;e;4,10;e;89;e
;010535373042;Groß Pampau;175;e;4,31;e;41;e
;010535373045;Grove;263;e;5,28;e;50;e
;010535373047;Gülzow (Kreis Herzogtum Lauenburg);1368;e;17,07;e;80;e
;010535373049;Hamfelde (Kreis Herzogtum Lauenburg);505;e;3,47;e;146;e
;010535373052;Havekost;194;e;5,91;e;33;e
;010535373059;Kankelau;231;e;4,21;e;55;e
;010535373060;Kasseburg;578;e;7,89;e;73;e
;010535373070;Köthel (Kreis Herzogtum Lauenburg);301;e;1,52;e;198;e
;010535373071;Kollow;622;e;8,21;e;76;e
;010535373076;Kuddewörde;1707;e;7,35;e;232;e
;010535373089;Möhnsen;554;e;7,47;e;74;e
;010535373091;Mühlenrade;206;e;3,74;e;55;e
;010535373106;Sahms;460;e;5,94;e;77;e
;010535391025;Duvensee;554;e;12,39;e;45;e
;010535391038;Grinau;288;e;2,74;e;105;e
;010535391039;Groß Boden;213;e;2,70;e;79;e
;010535391044;Groß Schenkenberg;572;e;6,52;e;88;e
;010535391068;Klinkrade;614;e;7,40;e;83;e
