Tabelle: 1000X-0001
Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden);;;;
Bevölkerung kompakt;;;;;;;
09.05.2011;;;;;;;
;;Personen;;Fläche;;Bevölkerungsdichte;
;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
010535313002;Alt Mölln;853;e;6,44;e;132;e
010535313005;Bälau;248;e;6,50;e;38;e
010535313013;Borstorf;285;e;8,65;e;33;e
010535313014;Breitenfelde;1835;e;12,54;e;146;e
010535313037;Grambek;417;e;12,66;e;33;e
010535313056;Hornbek;185;e;5,89;e;31;e
010535313084;Lehmrade;465;e;11,40;e;41;e
010535313095;Niendorf/ Stecknitz;653;e;8,41;e;78;e
010535313113;Schretstaken;496;e;8,47;e;59;e
010535313125;Talkau;513;e;4,88;e;105;e
010535313134;Woltersdorf (Kreis Herzogtum Lauenburg);284;e;7,90;e;36;e
010535318010;Besenthal;80;e;12,65;e;6;e
010535318015;Bröthen;277;e;10,69;e;26;e
010535318020;Büchen;5677;e;16,85;e;337;e
010535318029;Fitzen;327;e;9,11;e;36;e
010535318035;Göttin;55;e;5,21;e;11;e
010535318046;Gudow;1665;e;42,26;e;39;e
010535318048;Güster;1274;e;7,78;e;164;e
010535318064;Klein Pampau;609;e;4,17;e;146;e
010535318080;Langenlehsten;165;e;23,37;e;7;e
010535318092;Müssen;1005;e;11,46;e;88;e
010535318104;Roseburg;511;e;16,23;e;31;e
010535318115;Schulendorf;468;e;11,39;e;41;e
010535318119;Siebeneichen;274;e;4,68;e;59;e
010535318126;Tramm (Kreis Herzogtum Lauenburg);337;e;6,75;e;50;e
010535318132;Witzeeze;886;e;10,46;e;85;e
010535323003;Aumühle;3162;e;3,47;e;911;e
010535323012;Börnsen;4243;e;8,42;e;504;e
010535323023;Dassendorf;3085;e;7,95;e;388;e
010535323028;Escheburg;3346;e;8,91;e;376;e
010535323050;Hamwarde;752;e;6,68;e;113;e
010535323053;Hohenhorn;507;e;6,93;e;73;e
010535323072;Kröppelshagen-Fahrendorf;1123;e;8,37;e;134;e
010535323131;Wiershop;166;e;5,15;e;32;e
010535323133;Wohltorf;2430;e;5,97;e;407;e
010535323135;Worth;167;e;6,07;e;28;e
010535343006;Basedow (Kreis Herzogtum Lauenburg);646;e;7,47;e;86;e
010535343019;Buchhorst;170;e;5,19;e;33;e
010535343022;Dalldorf;360;e;6,05;e;60;e
010535343058;Juliusburg;178;e;6,04;e;29;e
010535343073;Krüzen;368;e;8,25;e;45;e
010535343074;Krukow (Kreis Herzogtum Lauenburg);169;e;7,94;e;21;e
010535343082;Lanze;272;e;9,05;e;30;e
010535343087;Lütau;720;e;11,24;e;64;e
010535343111;Schnakenbek;822;e;13,02;e;63;e
010535343128;Wangelau;228;e;6,52;e;35;e
010535358001;Albsfelde;67;e;4,18;e;16;e
010535358004;Bäk;857;e;4,30;e;199;e
010535358016;Brunsmark;157;e;4,29;e;37;e
010535358018;Buchholz (Kreis Herzogtum Lauenburg);240;e;2,93;e;82;e
010535358026;Einhaus;381;e;2,53;e;151;e
010535358030;Fredeburg;41;e;10,09;e;4;e
010535358033;Giesensdorf;123;e;2,73;e;45;e
010535358040;Groß Disnack;87;e;5,99;e;15;e
010535358041;Groß Grönau;3569;e;4,90;e;728;e
010535358043;Groß Sarau;886;e;17,08;e;52;e
010535358051;Harmsdorf (Kreis Herzogtum Lauenburg);283;e;3,57;e;79;e
010535358054;Hollenbek;444;e;7,21;e;62;e
010535358057;Horst;244;e;11,93;e;20;e
010535358062;Kittlitz;238;e;17,73;e;13;e
010535358066;Klein Zecher;242;e;9,11;e;27;e
010535358078;Kulpin;212;e;6,07;e;35;e
010535358088;Mechow;110;e;4,43;e;25;e
010535358093;Mustin (Kreis Herzogtum Lauenburg);764;e;11,88;e;64;e
010535358098;Pogeez;370;e;4,51;e;82;e
010535358102;Römnitz;51;e;5,15;e;10;e
010535358107;Salem (Kreis Herzogtum Lauenburg);585;e;25,11;e;23;e
010535358110;Schmilau;558;e;11,55;e;48;e
010535358117;Seedorf (Kreis Herzogtum Lauenburg);548;e;27,89;e;20;e
010535358123;Sterley;955;e;21,39;e;45;e
010535358136;Ziethen (Kreis Herzogtum Lauenburg);992;e;11,18;e;89;e
010535373007;Basthorst;396;e;10,82;e;37;e
010535373017;Brunstorf;644;e;13,76;e;47;e
010535373021;Dahmker;161;e;2,04;e;79;e
010535373027;Elmenhorst (Kreis Herzogtum Lauenburg);880;e;13,00;e;68;e
010535373031;Fuhlenhagen;282;e;5,74;e;49;e
010535373036;Grabau (Kreis Herzogtum Lauenburg);293;e;4,10;e;71;e
010535373042;Groß Pampau;150;e;4,32;e;35;e
010535373045;Grove;246;e;5,28;e;47;e
010535373047;Gülzow (Kreis Herzogtum Lauenburg);1230;e;17,07;e;72;e
