Tabelle: 1000X-0001
Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden);;;;
Bevölkerung kompakt;;;;;;;
09.05.2011;;;;;;;
;;Personen;;Fläche;;Bevölkerungsdichte;
;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
091750132132;Vaterstetten;21069;e;34,09;e;618;e
091750133133;Pliening;5089;e;22,79;e;223;e
091750135135;Poing;13182;e;12,92;e;1020;e
091750137137;Steinhöring;3884;e;36,29;e;107;e
091750139139;Zorneding;8669;e;23,78;e;365;e
091755112112;Aßling;4252;e;31,37;e;136;e
091755112119;Frauenneuharting;1433;e;22,69;e;63;e
091755112136;Emmering (Landkreis Ebersberg);1450;e;17,22;e;84;e
091755114113;Baiern;1412;e;19,97;e;71;e
091755114114;Bruck;1149;e;21,59;e;53;e
091755114116;Egmating;2184;e;19,16;e;114;e
091755114121;Glonn, M;4622;e;30,24;e;153;e
091755114128;Moosach;1429;e;18,21;e;78;e
091755114131;Oberpframmern;2191;e;18,47;e;119;e
091760112112;Altmannstein, M;6775;e;114,18;e;59;e
091760114114;Beilngries, St;8736;e;100,04;e;87;e
091760118118;Buxheim (Landkreis Eichstätt);3478;e;22,53;e;154;e
091760120120;Denkendorf (Landkreis Eichstätt);4382;e;47,84;e;92;e
091760121121;Dollnstein, M;2741;e;40,51;e;68;e
091760123123;Eichstätt, GKSt;13150;e;47,78;e;275;e
091760126126;Gaimersheim, M;11089;e;28,21;e;393;e
091760129129;Großmehring;6358;e;47,42;e;134;e
091760131131;Hepberg;2433;e;4,16;e;585;e
091760132132;Hitzhofen;2802;e;33,79;e;83;e
091760137137;Kinding, M;2526;e;51,72;e;49;e
091760138138;Kipfenberg, M;5513;e;81,43;e;68;e
091760139139;Kösching, M;8886;e;55,67;e;160;e
091760143143;Lenting;4654;e;8,48;e;549;e
091760148148;Mörnsheim, M;1550;e;33,46;e;46;e
091760161161;Stammham (Landkreis Eichstätt);3678;e;39,04;e;94;e
091760164164;Titting, M;2659;e;71,10;e;37;e
091760166166;Wellheim, M;2654;e;33,81;e;78;e
091760167167;Wettstetten;4713;e;12,47;e;378;e
091765115155;Pollenfeld;2745;e;45,65;e;60;e
091765115160;Schernfeld;3034;e;52,24;e;58;e
091765115165;Walting;2287;e;39,75;e;58;e
091765116116;Böhmfeld;1613;e;16,27;e;99;e
091765116124;Eitensheim;2765;e;15,71;e;176;e
091765118111;Adelschlag;2795;e;51,98;e;54;e
091765118122;Egweil;1100;e;9,39;e;117;e
091765118149;Nassenfels, M;1962;e;18,43;e;106;e
091765119147;Mindelstetten;1613;e;22,69;e;71;e
091765119150;Oberdolling;1187;e;19,37;e;61;e
091765119153;Pförring, M;3543;e;43,52;e;81;e
091770113113;Bockhorn (Landkreis Erding);3524;e;47,15;e;75;e
091770115115;Dorfen, St;13870;e;99,56;e;139;e
091770117117;Erding, St;33528;e;54,61;e;614;e
091770118118;Finsing;4166;e;23,17;e;180;e
091770119119;Forstern;3216;e;15,37;e;209;e
091770120120;Fraunberg;3362;e;42,36;e;79;e
091770123123;Isen, M;5403;e;43,78;e;123;e
091770127127;Lengdorf;2698;e;33,94;e;79;e
091770130130;Moosinning;5368;e;39,97;e;134;e
091770137137;Sankt Wolfgang;4284;e;46,32;e;92;e
091770139139;Taufkirchen (Vils);9057;e;70,18;e;129;e
091775120114;Buch a.Buchrain;1419;e;22,75;e;62;e
091775120135;Pastetten;2522;e;22,08;e;114;e
091775121142;Walpertskirchen;2038;e;18,45;e;110;e
091775121144;Wörth;4359;e;21,05;e;207;e
091775123116;Eitting;2374;e;35,63;e;67;e
091775123133;Oberding;5378;e;64,72;e;83;e
091775124131;Neuching;2378;e;19,68;e;121;e
091775124134;Ottenhofen;1862;e;10,28;e;181;e
091775125121;Hohenpolding;1438;e;27,42;e;52;e
091775125122;Inning a.Holz;1431;e;11,83;e;121;e
091775125124;Kirchberg;944;e;17,09;e;55;e
091775125138;Steinkirchen (Landkreis Erding);1192;e;18,08;e;66;e
091775126112;Berglern;2554;e;19,88;e;128;e
091775126126;Langenpreising;2574;e;27,50;e;94;e
091775126143;Wartenberg, M;4767;e;17,89;e;266;e
091780116116;Au i.d.Hallertau, M;5571;e;54,98;e;101;e
091780120120;Eching (Landkreis Freising);12791;e;37,31;e;343;e
091780122122;Rudelzhausen;3251;e;40,81;e;80;e
091780123123;Fahrenzhausen;4492;e;37,64;e;119;e
091780124124;Freising, GKSt;44578;e;88,59;e;503;e
091780130130;Hallbergmoos;9205;e;35,07;e;262;e
091780133133;Hohenkammer;2310;e;25,74;e;90;e
091780136136;Kirchdorf a.d.Amper;2736;e;32,96;e;83;e
091780137137;Kranzberg;3960;e;39,51;e;100;e
091780138138;Langenbach (Landkreis Freising);3869;e;26,89;e;144;e
091780140140;Marzling;2941;e;20,50;e;143;e
091780143143;Moosburg a.d.Isar, St;16662;e;43,85;e;380;e
091780144144;Nandlstadt, M;4894;e;34,30;e;143;e
091780145145;Neufahrn b.Freising;18392;e;45,53;e;404;e
091785127113;Allershausen;5082;e;26,55;e;191;e
091785127150;Paunzhausen;1509;e;12,73;e;119;e
091785129125;Gammelsdorf;1384;e;21,63;e;64;e
091785129132;Hörgertshausen;1825;e;21,48;e;85;e
091785129142;Mauern;2796;e;24,14;e;116;e
091785129155;Wang;2431;e;31,19;e;78;e
091785130115;Attenkirchen;2568;e;16,11;e;159;e
091785130129;Haag a.d.Amper;2771;e;21,71;e;128;e
091785130156;Wolfersdorf;2351;e;26,05;e;90;e
091785130157;Zolling;4449;e;34,54;e;129;e
091790113113;Alling;3520;e;21,02;e;167;e
091790117117;Egenhofen;3200;e;33,40;e;96;e
091790118118;Eichenau;11564;e;6,99;e;1654;e
091790119119;Emmering (Landkreis Fürstenfeldbruck);6133;e;10,95;e;560;e
091790121121;Fürstenfeldbruck, GKSt;33379;e;32,52;e;1026;e
091790123123;Germering, GKSt;37724;e;21,61;e;1746;e
091790126126;Gröbenzell;19079;e;6,36;e;3000;e
091790134134;Maisach;12699;e;53,44;e;238;e
091790138138;Moorenweis;3835;e;45,45;e;84;e
091790142142;Olching;24751;e;29,92;e;827;e
091790145145;Puchheim, St;19613;e;12,23;e;1604;e
091790149149;Türkenfeld;3591;e;15,95;e;225;e
091795131111;Adelshofen (Landkreis Fürstenfeldbruck);1571;e;13,28;e;118;e
091795131114;Althegnenberg;1792;e;16,09;e;111;e
091795131128;Hattenhofen (Landkreis Fürstenfeldbruck);1377;e;7,17;e;192;e
091795131130;Jesenwang;1486;e;15,30;e;97;e
091795131132;Landsberied;1435;e;10,54;e;136;e
091795131136;Mammendorf;4569;e;21,21;e;215;e
091795131137;Mittelstetten;1641;e;18,62;e;88;e
091795131140;Oberschweinbach;1593;e;7,24;e;220;e
091795132125;Grafrath;3618;e;14,43;e;251;e
091795132131;Kottgeisering;1585;e;8,21;e;193;e
091795132147;Schöngeising;1842;e;12,87;e;143;e
091800112112;Bad Kohlgrub;2361;e;32,58;e;72;e
091800116116;Farchant;3651;e;25,76;e;142;e
091800117117;Garmisch-Partenkirchen, M;25581;e;205,67;e;124;e
091800118118;Grainau;3433;e;49,39;e;70;e
091800122122;Krün;1878;e;36,32;e;52;e
091800123123;Mittenwald, M;7342;e;132,85;e;55;e
091800124124;Murnau a.Staffelsee, M;11311;e;38,05;e;297;e
091800125125;Oberammergau;5150;e;30,06;e;171;e
091800126126;Oberau;3035;e;17,86;e;170;e
091800134134;Uffing a.Staffelsee;2941;e;42,75;e;69;e
091800136136;Wallgau;1380;e;33,96;e;41;e
091805133113;Bad Bayersoien;1110;e;17,67;e;63;e
091805133129;Saulgrub;1600;e;35,48;e;45;e
091805135115;Ettal;750;e;14,75;e;51;e
091805135135;Unterammergau;1489;e;29,93;e;50;e
091805136114;Eschenlohe;1528;e;55,04;e;28;e
091805136119;Großweil;1444;e;22,04;e;66;e
091805136127;Ohlstadt;3163;e;41,16;e;77;e
091805136131;Schwaigen;599;e;23,58;e;25;e
091805137128;Riegsee;1173;e;20,43;e;57;e
091805137132;Seehausen a.Staffelsee;2392;e;15,71;e;152;e
091805137133;Spatzenhausen;735;e;7,73;e;95;e
091810113113;Denklingen;2526;e;56,76;e;45;e
091810114114;Dießen am Ammersee, M;10133;e;82,65;e;123;e
091810116116;Egling a.d.Paar;2171;e;20,77;e;105;e
091810122122;Geltendorf;5426;e;34,82;e;156;e
091810128128;Kaufering, M;10031;e;17,69;e;567;e
091810130130;Landsberg am Lech, GKSt;27324;e;57,89;e;472;e
091810132132;Penzing;3605;e;33,81;e;107;e
091810144144;Utting am Ammersee;4345;e;19,01;e;229;e
091810145145;Weil;3720;e;44,48;e;84;e
091815138121;Fuchstal;3527;e;39,75;e;89;e
091815138143;Unterdießen;1347;e;12,79;e;105;e
091815139126;Hurlach;1636;e;17,17;e;95;e
091815139127;Igling;2423;e;26,34;e;92;e
091815139131;Obermeitingen;1461;e;9,93;e;147;e
091815140134;Prittriching;2417;e;25,38;e;95;e
091815140138;Scheuring;1855;e;21,27;e;87;e
091815141124;Hofstetten (Landkreis Landsberg am Lech);1768;e;17,02;e;104;e
091815141140;Schwifting;894;e;11,45;e;78;e
091815141141;Pürgen;3338;e;21,99;e;152;e
091815142111;Apfeldorf;1070;e;12,31;e;87;e
091815142129;Kinsau;1021;e;11,44;e;89;e
091815142133;Vilgertshofen;2484;e;27,10;e;92;e
091815142135;Reichling;1594;e;23,26;e;69;e
091815142137;Rott (Landkreis Landsberg am Lech);1472;e;19,74;e;75;e
091815142142;Thaining;907;e;8,71;e;104;e
091815143115;Eching am Ammersee;1654;e;6,24;e;265;e
091815143123;Greifenberg;2136;e;8,21;e;260;e
091815143139;Schondorf am Ammersee;3751;e;6,60;e;568;e
091815144118;Eresing;1716;e;14,23;e;121;e
091815144120;Finning;1639;e;23,33;e;70;e
091815144146;Windach;3694;e;24,85;e;149;e
091820111111;Bad Wiessee;4491;e;32,79;e;137;e
091820112112;Bayrischzell;1474;e;79,45;e;19;e
091820114114;Fischbachau;5500;e;75,82;e;73;e
091820116116;Gmund a.Tegernsee;5767;e;34,41;e;168;e
091820119119;Hausham;8026;e;22,29;e;360;e
091820120120;Holzkirchen, M;15389;e;48,24;e;319;e
091820123123;Irschenberg;2997;e;53,91;e;56;e
091820124124;Kreuth;3417;e;122,24;e;28;e
091820125125;Miesbach, St;10997;e;32,43;e;339;e
091820127127;Otterfing;4411;e;21,16;e;208;e
091820129129;Rottach-Egern;5594;e;59,11;e;95;e
091820131131;Schliersee, M;6645;e;79,16;e;84;e
091820132132;Tegernsee, St;3590;e;22,77;e;158;e
091820133133;Valley;2926;e;42,18;e;69;e
091820134134;Waakirchen;5465;e;42,31;e;129;e
091820136136;Warngau;3657;e;51,24;e;71;e
091820137137;Weyarn;3284;e;46,71;e;70;e
091830112112;Ampfing;6092;e;31,13;e;196;e
091830113113;Aschau a.Inn;2987;e;20,76;e;144;e
091830114114;Buchbach, M;3032;e;28,79;e;105;e
091830119119;Haag i.OB, M;6286;e;20,37;e;309;e
091830127127;Mettenheim (Landkreis Mühldorf a.Inn);3413;e;27,24;e;125;e
091830128128;Mühldorf a.Inn, St;16807;e;29,42;e;571;e
091830135135;Obertaufkirchen;2376;e;31,64;e;75;e
091830144144;Schwindegg;3415;e;20,77;e;164;e
091830148148;Waldkraiburg, St;21435;e;21,55;e;995;e
091835145120;Heldenstein;2417;e;19,85;e;122;e
091835145138;Rattenkirchen;965;e;19,87;e;49;e
091835146118;Gars a.Inn, M;3718;e;43,66;e;85;e
091835146147;Unterreit;1685;e;32,19;e;52;e
091835147123;Kirchdorf (Landkreis Mühldorf a.Inn);1327;e;21,03;e;63;e
091835147140;Reichertsheim;1631;e;31,38;e;52;e
091835148122;Jettenbach (Landkreis Mühldorf a.Inn);700;e;9,17;e;76;e
091835148124;Kraiburg a.Inn, M;3924;e;27,56;e;142;e
091835148145;Taufkirchen (Landkreis Mühldorf a.Inn);1341;e;25,33;e;53;e
091835149115;Egglkofen;1219;e;13,99;e;87;e
091835149129;Neumarkt-Sankt Veit, St;6058;e;61,07;e;99;e
091835150125;Lohkirchen;691;e;14,88;e;46;e
091835150132;Oberbergkirchen;1628;e;27,53;e;59;e
091835150143;Schönberg (Landkreis Mühldorf a.Inn);952;e;25,33;e;38;e
091835150151;Zangberg;1089;e;9,84;e;111;e
091835151134;Oberneukirchen;848;e;19,60;e;43;e
091835151136;Polling (Landkreis Mühldorf a.Inn);3287;e;43,85;e;75;e
091835152116;Erharting;919;e;13,68;e;67;e
091835152130;Niederbergkirchen;1206;e;24,70;e;49;e
091835152131;Niedertaufkirchen;1277;e;26,69;e;48;e
091835183126;Maitenbeth;1893;e;30,94;e;61;e
091835183139;Rechtmehring;1796;e;24,38;e;74;e
091840112112;Aschheim;7574;e;28,05;e;270;e
091840113113;Baierbrunn;2820;e;7,21;e;391;e
091840114114;Brunnthal;4750;e;37,94;e;125;e
091840118118;Feldkirchen (Landkreis München);6321;e;6,41;e;986;e
091840119119;Garching b.München, St;15699;e;28,17;e;557;e
091840120120;Gräfelfing;12729;e;9,57;e;1330;e
091840121121;Grasbrunn;6305;e;26,40;e;239;e
091840122122;Grünwald;10732;e;7,63;e;1407;e
091840123123;Haar;19231;e;12,90;e;1491;e
091840127127;Höhenkirchen-Siegertsbrunn;9856;e;23,76;e;415;e
091840129129;Hohenbrunn;8376;e;18,59;e;451;e
091840130130;Ismaning;15503;e;40,20;e;386;e
091840131131;Kirchheim b.München;12386;e;15,51;e;799;e
091840132132;Neuried (Landkreis München);8277;e;9,63;e;860;e
091840134134;Oberhaching;12438;e;33,05;e;376;e
091840135135;Oberschleißheim;10639;e;30,31;e;351;e
091840136136;Ottobrunn;20082;e;5,23;e;3840;e
091840137137;Aying;4633;e;56,55;e;82;e
091840138138;Planegg;10115;e;10,68;e;947;e
091840139139;Pullach i.Isartal;8730;e;7,40;e;1180;e
091840140140;Putzbrunn;6024;e;11,17;e;539;e
091840141141;Sauerlach;7135;e;56,94;e;125;e
091840142142;Schäftlarn;5267;e;16,71;e;315;e
091840144144;Straßlach-Dingharting;2985;e;28,34;e;105;e
091840145145;Taufkirchen (Landkreis München);17439;e;22,00;e;793;e
091840146146;Neubiberg;13335;e;5,77;e;2311;e
091840147147;Unterföhring;9697;e;12,79;e;758;e
091840148148;Unterhaching;22298;e;10,37;e;2150;e
091840149149;Unterschleißheim, St;25872;e;14,93;e;1733;e
091850113113;Aresing;2682;e;29,89;e;90;e
091850125125;Burgheim, M;4504;e;49,73;e;91;e
091850127127;Ehekirchen;3642;e;62,79;e;58;e
091850139139;Karlshuld;5141;e;29,09;e;177;e
091850140140;Karlskron;4749;e;38,51;e;123;e
091850149149;Neuburg a.d.Donau, GKSt;27733;e;81,30;e;341;e
091850150150;Oberhausen (Landkreis Neuburg-Schrobenhausen);2608;e;31,99;e;82;e
091850153153;Rennertshofen, M;4770;e;93,10;e;51;e
091850158158;Schrobenhausen, St;15910;e;75,26;e;211;e
091850163163;Königsmoos;4384;e;40,83;e;107;e
091850168168;Weichering;2285;e;24,59;e;93;e
091855154118;Bergheim;1853;e;28,93;e;64;e
091855154157;Rohrenfels;1499;e;17,54;e;85;e
091855155116;Berg im Gau;1198;e;22,60;e;53;e
091855155123;Brunnen;1596;e;32,14;e;50;e
091855155131;Gachenbach;2357;e;30,25;e;78;e
091855155143;Langenmosen;1493;e;23,90;e;62;e
091855155166;Waidhofen;2189;e;27,33;e;80;e
091860113113;Baar-Ebenhausen;4985;e;14,79;e;337;e
091860125125;Gerolsbach;3281;e;58,96;e;56;e
091860128128;Hohenwart, M;4402;e;52,23;e;84;e
091860132132;Jetzendorf;2922;e;21,77;e;134;e
091860137137;Manching, M;11220;e;35,45;e;317;e
091860139139;Münchsmünster;2795;e;15,81;e;177;e
091860143143;Pfaffenhofen a.d.Ilm, St;23603;e;92,64;e;255;e
091860146146;Reichertshausen;4895;e;23,64;e;207;e
091860149149;Rohrbach (Landkreis Pfaffenhofen a.d.Ilm);5600;e;29,62;e;189;e
091860151151;Scheyern;4617;e;38,30;e;121;e
091860152152;Schweitenkirchen;4831;e;53,01;e;91;e
091860158158;Vohburg a.d.Donau, St;7245;e;45,18;e;160;e
091860162162;Wolnzach, M;10744;e;91,52;e;117;e
091865156116;Ernsgaden;1494;e;7,50;e;199;e
091865156122;Geisenfeld, St;9921;e;88,30;e;112;e
091865157126;Hettenshausen;1947;e;18,60;e;105;e
091865157130;Ilmmünster;2106;e;13,89;e;152;e
091865158144;Pörnbach;2031;e;22,63;e;90;e
091865158147;Reichertshofen, M;7477;e;36,89;e;203;e
091870113113;Amerang;3536;e;39,81;e;89;e
091870114114;Aschau i.Chiemgau;5443;e;79,61;e;68;e
091870116116;Babensham;2883;e;54,31;e;53;e
091870117117;Bad Aibling, St;17023;e;41,41;e;411;e
091870118118;Bernau a.Chiemsee;6617;e;26,69;e;248;e
091870120120;Brannenburg;5602;e;33,68;e;166;e
091870122122;Bruckmühl, M;15720;e;50,21;e;313;e
091870124124;Edling;4174;e;20,05;e;208;e
091870125125;Eggstätt;2780;e;24,30;e;114;e
091870126126;Eiselfing;2868;e;34,89;e;82;e
091870128128;Bad Endorf, M;7886;e;40,11;e;197;e
091870129129;Bad Feilnbach;7524;e;57,49;e;131;e
091870130130;Feldkirchen-Westerham;10260;e;53,25;e;193;e
091870131131;Flintsbach a.Inn;2873;e;31,30;e;92;e
091870132132;Frasdorf;2908;e;32,72;e;89;e
091870134134;Griesstätt;2554;e;29,53;e;86;e
091870137137;Großkarolinenfeld;6916;e;29,07;e;238;e
091870142142;Schechen;4522;e;31,54;e;143;e
091870148148;Kiefersfelden;6553;e;36,73;e;178;e
091870150150;Kolbermoor, St;17666;e;19,84;e;890;e
091870154154;Neubeuern, M;4231;e;15,32;e;276;e
091870156156;Nußdorf a.Inn;2594;e;28,57;e;91;e
091870157157;Oberaudorf;4746;e;59,30;e;80;e
091870162162;Prien a.Chiemsee, M;9902;e;20,70;e;478;e
091870163163;Prutting;2534;e;16,23;e;156;e
091870165165;Raubling;11073;e;44,27;e;250;e
091870167167;Riedering;5437;e;37,94;e;143;e
091870168168;Rimsting;3681;e;20,00;e;184;e
091870169169;Rohrdorf (Landkreis Rosenheim);5400;e;28,66;e;188;e
091870172172;Samerberg;2610;e;33,39;e;78;e
091870174174;Söchtenau;2577;e;25,63;e;101;e
091870176176;Soyen;2695;e;28,95;e;93;e
091870177177;Stephanskirchen;9841;e;26,51;e;371;e
091870179179;Tuntenhausen;6875;e;68,98;e;100;e
091870181181;Vogtareuth;3061;e;34,22;e;89;e
091870182182;Wasserburg a.Inn, St;12127;e;18,80;e;645;e
091875160121;Breitbrunn a.Chiemsee;1546;e;8,12;e;190;e
091875160123;Chiemsee;251;e;2,57;e;98;e
091875160138;Gstadt a.Chiemsee;1158;e;10,70;e;108;e
091875162139;Halfing;2633;e;22,80;e;115;e
091875162145;Höslwang;1205;e;16,18;e;74;e
091875162173;Schonstett;1256;e;13,60;e;92;e
091875165164;Ramerberg;1334;e;8,10;e;165;e
091875165170;Rott a.Inn;3674;e;19,57;e;188;e
091875184159;Pfaffing;3856;e;35,39;e;109;e
091875184186;Albaching;1652;e;18,15;e;91;e
091880113113;Berg (Landkreis Starnberg);7896;e;36,63;e;216;e
091880117117;Andechs;3284;e;40,44;e;81;e
091880118118;Feldafing;4203;e;9,15;e;459;e
091880120120;Gauting;19294;e;55,51;e;348;e
091880121121;Gilching;17061;e;31,50;e;542;e
091880124124;Herrsching a.Ammersee;9994;e;20,88;e;479;e
091880126126;Inning a.Ammersee;4280;e;24,42;e;175;e
091880127127;Krailling;7421;e;15,99;e;464;e
091880132132;Seefeld (Landkreis Starnberg);7042;e;34,87;e;202;e
091880137137;Pöcking;5405;e;20,96;e;258;e
091880139139;Starnberg, St;22165;e;61,84;e;358;e
091880141141;Tutzing;9197;e;35,65;e;258;e
091880144144;Weßling;5124;e;22,60;e;227;e
091880145145;Wörthsee;4767;e;20,42;e;233;e
091890111111;Altenmarkt a.d.Alz;4206;e;26,11;e;161;e
091890114114;Chieming;4674;e;37,74;e;124;e
091890115115;Engelsberg;2616;e;34,19;e;77;e
091890118118;Fridolfing;4093;e;44,24;e;93;e
091890119119;Grabenstätt;4185;e;37,81;e;111;e
091890120120;Grassau, M;6291;e;35,78;e;176;e
091890124124;Inzell;4470;e;45,35;e;99;e
091890127127;Kirchanschöring;3091;e;25,23;e;123;e
091890130130;Nußdorf;2438;e;16,12;e;151;e
091890134134;Palling;3358;e;53,85;e;62;e
091890135135;Petting;2300;e;29,93;e;77;e
091890139139;Reit im Winkl;2367;e;70,99;e;33;e
091890140140;Ruhpolding;6389;e;147,84;e;43;e
091890141141;Schleching;1665;e;45,16;e;37;e
091890142142;Schnaitsee;3502;e;61,15;e;57;e
091890143143;Seeon-Seebruck;4519;e;47,93;e;94;e
091890145145;Siegsdorf;8099;e;56,99;e;142;e
091890148148;Surberg;3143;e;23,73;e;132;e
091890149149;Tacherting;5509;e;50,24;e;110;e
091890152152;Tittmoning, St;5830;e;72,04;e;81;e
091890154154;Traunreut, St;19941;e;45,06;e;443;e
091890155155;Traunstein, GKSt;18635;e;48,55;e;384;e
091890157157;Trostberg, St;11201;e;51,55;e;217;e
091890159159;Übersee;4824;e;30,53;e;158;e
091890160160;Unterwössen;3434;e;41,28;e;83;e
091895166113;Bergen (Landkreis Traunstein);4782;e;36,91;e;130;e
091895166161;Vachendorf;1843;e;9,96;e;185;e
091895169129;Marquartstein;3181;e;13,42;e;237;e
091895169146;Staudach-Egerndach;1123;e;19,34;e;58;e
091895170126;Kienberg;1366;e;22,83;e;60;e
091895170133;Obing;3959;e;43,75;e;90;e
091895170137;Pittenhart;1638;e;27,91;e;59;e
091895173150;Taching a.See;1939;e;26,76;e;72;e
091895173162;Waging a.See, M;6431;e;48,87;e;132;e
091895173165;Wonneberg;1467;e;18,00;e;82;e
091900115115;Bernried am Starnberger See;2123;e;13,80;e;154;e
091900130130;Hohenpeißenberg;3779;e;20,51;e;184;e
091900138138;Pähl;2247;e;32,22;e;70;e
091900139139;Peißenberg, M;12335;e;32,68;e;377;e
091900140140;Peiting, M;11390;e;75,14;e;152;e
091900141141;Penzberg, St;16003;e;25,72;e;622;e
091900142142;Polling (Landkreis Weilheim-Schongau);3254;e;29,21;e;111;e
091900144144;Raisting;2187;e;21,98;e;99;e
091900148148;Schongau, St;11643;e;21,34;e;546;e
091900157157;Weilheim i.OB, St;21149;e;55,49;e;381;e
091900158158;Wessobrunn;2126;e;51,12;e;42;e
091900159159;Wielenbach;3077;e;33,02;e;93;e
091905174111;Altenstadt (Landkreis Weilheim-Schongau);3228;e;18,66;e;173;e
091905174129;Hohenfurch;1509;e;12,41;e;122;e
091905174133;Ingenried;928;e;17,45;e;53;e
091905174149;Schwabbruck;935;e;7,34;e;127;e
091905174151;Schwabsoien;1303;e;17,02;e;77;e
091905175114;Bernbeuren;2360;e;41,67;e;57;e
091905175118;Burggen;1681;e;24,94;e;67;e
091905176113;Antdorf;1180;e;22,37;e;53;e
091905176126;Habach;1086;e;12,16;e;89;e
091905176136;Obersöchering;1484;e;24,28;e;61;e
091905176153;Sindelsdorf;1066;e;17,50;e;61;e
091905177120;Eberfing;1329;e;25,93;e;51;e
091905177121;Eglfing;963;e;16,17;e;60;e
091905177131;Huglfing;2563;e;24,36;e;105;e
091905177135;Oberhausen (Landkreis Weilheim-Schongau);2038;e;14,91;e;137;e
091905178117;Böbing;1764;e;40,34;e;44;e
091905178145;Rottenbuch;1743;e;31,46;e;55;e
091905179132;Iffeldorf;2493;e;27,59;e;90;e
091905179152;Seeshaupt;2988;e;29,97;e;100;e
091905180143;Prem;858;e;15,92;e;54;e
091905180154;Steingaden;2699;e;64,06;e;42;e
091905180160;Wildsteig;1250;e;47,66;e;26;e
092610000000;Landshut;63544;e;65,81;e;966;e
092620000000;Passau;48649;e;69,57;e;699;e
092630000000;Straubing;44488;e;67,58;e;658;e
092710111111;Aholming;2251;e;29,35;e;77;e
092710113113;Auerbach (Landkreis Deggendorf);2070;e;24,08;e;86;e
092710116116;Bernried;4769;e;39,48;e;121;e
092710119119;Deggendorf, GKSt;31491;e;77,20;e;408;e
092710122122;Grafling;2762;e;46,31;e;60;e
092710125125;Hengersberg, M;7059;e;45,81;e;154;e
092710127127;Iggensbach;2045;e;19,09;e;107;e
092710128128;Künzing;3118;e;40,34;e;77;e
092710132132;Metten, M;4141;e;11,96;e;346;e
092710138138;Niederalteich;1805;e;9,97;e;181;e
092710140140;Offenberg;3245;e;23,76;e;137;e
092710141141;Osterhofen, St;11506;e;111,19;e;103;e
092710146146;Plattling, St;12206;e;35,87;e;340;e
092710151151;Stephansposching;3017;e;44,68;e;68;e
092710153153;Winzer, M;3808;e;27,61;e;138;e
092715202123;Grattersdorf;1275;e;25,98;e;49;e
092715202126;Hunding;1151;e;14,67;e;78;e
092715202130;Lalling;1550;e;27,94;e;55;e
092715202148;Schaufling;1469;e;25,42;e;58;e
092715204139;Oberpöring;1175;e;17,39;e;68;e
092715204143;Otzing;1913;e;30,44;e;63;e
092715204152;Wallerfing;1365;e;20,77;e;66;e
092715205118;Buchhofen;894;e;15,72;e;57;e
092715205135;Moos (Landkreis Deggendorf);2164;e;32,24;e;67;e
092715206114;Außernzell;1383;e;24,13;e;57;e
092715206149;Schöllnach, M;4822;e;39,92;e;121;e
092720118118;Freyung, St;6877;e;48,64;e;141;e
092720120120;Grafenau, St;8361;e;63,79;e;131;e
092720121121;Grainet;2386;e;36,13;e;66;e
092720122122;Haidmühle;1330;e;21,03;e;63;e
092720127127;Hohenau;3357;e;43,11;e;78;e
092720129129;Jandelsbrunn;3336;e;42,39;e;79;e
092720134134;Mauth;2317;e;28,89;e;80;e
092720136136;Neureichenau;4307;e;46,39;e;93;e
092720140140;Ringelai;1966;e;16,38;e;120;e
092720141141;Röhrnbach, M;4468;e;40,63;e;110;e
092720142142;Saldenburg;1928;e;28,04;e;69;e
092720143143;Sankt Oswald-Riedlhütte;2971;e;40,31;e;74;e
092720146146;Neuschönau;2269;e;27,53;e;82;e
092720149149;Spiegelau;3922;e;40,43;e;97;e
092720151151;Waldkirchen, St;10225;e;80,04;e;128;e
092725211116;Eppenschlag;1000;e;17,02;e;59;e
092725211128;Innernzell;1624;e;22,13;e;73;e
092725211145;Schöfweg;1291;e;15,89;e;81;e
092725211147;Schönberg, M;3897;e;32,74;e;119;e
092725212126;Hinterschmiding;2520;e;21,04;e;120;e
092725212139;Philippsreut;705;e;10,22;e;69;e
092725213150;Thurmansbang;2308;e;32,92;e;70;e
092725213152;Zenting;1126;e;21,73;e;52;e
092725214119;Fürsteneck;892;e;10,42;e;86;e
092725214138;Perlesreut, M;2789;e;29,72;e;94;e
092730111111;Abensberg, St;12766;e;60,30;e;212;e
092730116116;Bad Abbach, M;11439;e;55,29;e;207;e
092730137137;Kelheim, St;15340;e;76,76;e;200;e
092730147147;Mainburg, St;14028;e;61,59;e;228;e
092730152152;Neustadt a.d.Donau, St;12673;e;93,56;e;135;e
092730159159;Painten, M;2187;e;13,78;e;159;e
092730164164;Riedenburg, St;5445;e;100,45;e;54;e
092730165165;Rohr i.NB, M;3222;e;54,17;e;59;e
092735215121;Essing, M;970;e;17,34;e;56;e
092735215133;Ihrlerstein;4118;e;23,08;e;178;e
092735216166;Saal a.d.Donau;5263;e;44,03;e;120;e
092735216175;Teugn;1597;e;17,09;e;93;e
092735217125;Hausen (Landkreis Kelheim);2034;e;34,62;e;59;e
092735217127;Herrngiersdorf;1175;e;25,09;e;47;e
092735217141;Langquaid, M;5250;e;56,67;e;93;e
092735218119;Biburg;1197;e;14,20;e;84;e
